,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,-3.7659,0.8267,-0.049,0.0169,-0.0262,0.0212,-0.022,-0.0363,-0.0127,0.0103,0.0106,0.0001,0.0017,-0.0232,0.0204,-0.0186,-0.3887,0.0147,-0.047,0.018,0.0219,-0.7775,-0.0183,-0.0023,-2309.0663,-0.0008,-0.0061,-3.5568,2.3577,-17.3474,0.2912,0.0102,0.0501,-2152.148,-0.0023,-0.0166,1.7687,0.0007,-1.8545,0.0057,11.1096,0.0161,-0.1456,-2.2231,-793035.0883,-68706075.5344,108447.6914,0.0087,39.552,0.0285,0.0261,-0.7661,0.0075,-0.2513,0.0001,-791411.074,33.9194,0.0,-0.9654,0.0001,-0.0001,2
1,1.5929,-0.2284,-0.4465,0.1139,0.1098,-0.0688,0.0999,0.1554,0.0464,-0.0484,-0.049,-0.004,-0.0162,0.0481,-0.0358,0.0922,0.4582,-0.1424,0.4635,-0.062,-0.1438,0.9164,0.3333,0.0559,-446.9229,-0.0084,0.0249,1.1956,-20.6994,-5.0278,-23.8947,-0.0831,-0.1086,-200.2641,0.0315,0.1039,-13.8574,0.0281,0.7497,0.0242,-32.7678,-0.0609,0.4454,0.9992,-1379101.2146,-739406.7938,-1521973.6679,0.068,-13.2724,-0.0029,-0.0027,0.5915,0.0395,0.1384,0.0041,-1372428.2251,-115.2508,0.0002,0.9783,0.0041,0.001,4
2,1.6625,-1.7957,-0.4528,-0.1591,0.0756,-0.0939,0.0589,0.0431,0.0129,-0.0266,-0.0277,-0.0041,-0.011,0.0238,-0.049,0.0437,0.4032,-0.0181,0.0905,-0.0561,-0.0244,0.8065,0.0006,-0.0209,-155.462,0.0091,-0.0457,1.4391,-1.8636,0.5848,-1.9679,-0.0986,-0.276,-189.0789,0.0738,0.0843,-0.9939,0.0526,1.2413,-0.0267,-7.1016,-0.0702,0.2907,-0.0984,-27290.458,-57640.8945,-20019.2402,0.0342,-3.3507,-0.0245,-0.0416,-0.4368,0.0158,0.0345,0.0223,-25821.2746,-28.5649,0.0071,0.0565,0.0005,0.0437,5
3,2.6903,0.9853,-0.1044,0.2214,0.0488,0.0452,0.0404,0.1003,0.0327,-0.019,-0.0194,0.0004,-0.0028,-0.0182,0.0758,0.0344,0.3364,-0.0878,0.3477,0.0513,-0.0703,0.6729,0.2864,0.0675,196.5014,-0.0597,0.09,2.2575,-5.2869,-15.8363,-0.7445,-0.016,0.031,405.093,0.0294,0.03,-2.7389,0.0333,1.6254,-0.0068,11.7771,-0.0415,0.1698,2.0723,-228349.4591,-1215517.7191,-30872.9421,-0.0491,18.2577,0.011,0.013,1.5488,-0.0311,0.1856,0.0026,-220201.4119,-6.2384,-0.0003,1.0245,0.0003,-0.0007,7
4,1.7806,2.7125,0.0723,0.3361,0.0489,0.0374,0.0378,0.0601,0.0226,-0.0171,-0.0178,0.001,-0.0009,-0.0145,0.0515,0.0289,0.2338,-0.0539,0.2989,0.0338,-0.0501,0.4677,0.2367,0.0963,-101.484,-0.0329,0.112,2.006,-2.9026,-15.1714,-0.3896,-0.0181,0.0333,985.9541,0.0264,0.0308,-1.6156,0.0293,1.5859,-0.0092,1.3638,-0.0452,0.3507,2.6438,-893132.8706,-7045029.8774,-110006.9692,-0.0474,38.2235,0.0357,0.0363,2.0086,-0.0167,0.0203,0.0013,-885855.2594,-40.4817,-0.0,1.2969,0.0007,0.0004,8
5,0.7339,-1.8803,0.3484,-0.038,0.0277,-0.0383,0.0251,0.0542,0.0169,-0.0122,-0.0123,-0.0003,-0.0029,0.0316,-0.0281,0.0232,0.1184,-0.0253,0.0873,-0.0481,-0.0216,0.2368,0.0581,-0.0026,26.6732,-0.0078,0.0009,1.0018,-3.4351,-21.1947,-0.4825,-0.0142,-0.0646,59.6273,0.0189,0.0195,-1.6029,0.0223,0.8629,-0.0076,0.2409,-0.025,0.1246,1.1436,-64109.2234,-501288.298,-8008.9107,-0.042,2.7451,0.0149,0.0148,0.863,-0.0202,0.0414,0.0009,-62518.0547,-0.3618,-0.0002,0.5185,0.0,0.0001,10
6,-2.1243,-1.0222,0.1311,-0.078,-0.0213,-0.0206,-0.0088,-0.0144,-0.0099,0.0024,0.0031,-0.0013,-0.0021,0.0193,-0.0261,0.0013,-0.3127,-0.0012,-0.0655,-0.0284,-0.0109,-0.6253,-0.0448,-0.0248,-35.951,0.018,-0.0612,-2.1557,-0.6098,-24.2393,0.1669,0.0356,-0.0301,-99.4508,-0.0169,-0.0089,-0.3953,-0.0118,-1.5096,0.0241,-0.0977,0.025,-0.2196,-1.3349,4476.7522,-378217.1883,12805.2803,0.0432,0.0939,0.0253,0.0185,-0.2754,0.0166,-0.1654,-0.0,-26119.7835,3.8029,0.0001,-0.5856,0.0006,-0.003,11
7,1.1438,-0.027,-0.0195,-0.0218,0.011,-0.0319,0.0098,0.0384,0.0101,-0.0047,-0.0048,0.0023,0.0013,0.0234,-0.0235,0.009,0.2039,-0.0055,0.0372,-0.0311,0.0086,0.4077,0.0243,-0.0027,24.3018,-0.0173,0.0165,0.9979,-1.8893,5.0416,-1.1178,-0.0319,0.0025,29.8477,0.0111,0.0034,-0.3839,0.023,0.591,-0.0055,3.6537,-0.0183,0.1111,1.3955,-82123.2693,-278045.9493,-29699.6044,-0.0383,4.6283,0.0419,0.0572,1.3094,-0.0016,-0.0396,0.0019,-68876.0223,-161.6264,-0.0012,0.318,-0.0036,-0.0004,12
8,1.1559,0.1552,0.0131,0.0459,0.0421,-0.0269,0.0386,0.0948,0.0268,-0.0187,-0.0189,-0.0013,-0.0063,0.0184,-0.0096,0.0359,0.2294,-0.0584,0.18,-0.0217,-0.0477,0.4588,0.1343,0.022,13.4855,-0.0531,0.0401,1.0655,-2.995,4.7967,-1.3729,-0.0421,-0.0179,35.9484,0.0268,0.0248,-0.6051,0.046,0.7148,-0.011,0.8503,-0.0512,0.1267,0.5833,-33736.9707,36893.9311,-10400.379,-0.0764,0.9666,-0.0069,0.0076,0.2299,-0.0305,0.1481,0.0013,-25901.4186,24.0243,-0.0116,0.3735,0.0015,-0.0096,13
9,2.1047,-1.2008,-0.4289,-0.1529,0.0561,-0.0986,0.0245,0.0225,0.0152,-0.0075,-0.0091,0.0037,0.0035,0.0251,-0.0706,0.0019,0.564,0.0212,-0.002,-0.0568,0.0206,1.128,-0.0396,-0.0242,-68.3989,-0.0063,0.008,2.3302,-0.2354,18.751,-4.0061,-0.176,-0.0466,-67.0345,0.0165,0.019,-0.1171,0.0116,1.6805,-0.0538,-0.8417,-0.0957,0.7294,0.8011,-26649.892,16991.3541,-35680.3518,0.1109,2.5349,0.0213,0.0312,0.4551,0.0868,0.161,0.0083,-23760.5378,-38.7265,0.0011,0.7846,-0.0072,0.0098,14
10,2.0142,0.3501,0.295,-0.0715,0.0276,-0.0471,0.0018,0.0398,0.0297,0.0032,0.0017,0.0052,0.0084,0.0186,-0.046,-0.0186,0.5076,0.0399,-0.0178,-0.0393,0.0901,1.0153,-0.041,-0.011,-85.1385,-0.0301,0.0765,2.4326,-0.0578,12.3348,-2.1542,-0.1531,0.0512,-62.6926,0.0165,0.0011,0.0423,0.0149,1.8839,-0.0656,-2.8231,-0.1377,0.7412,1.295,-23237.7252,-16328.4999,-22747.0144,0.0655,3.1948,0.0,0.0019,0.5182,0.059,0.4218,0.01,-20270.8832,-27.014,0.0008,0.7756,-0.0065,0.0127,15
11,1.8929,1.8392,-0.4005,0.0613,0.071,-0.0548,0.0495,0.0993,0.0428,-0.0216,-0.0226,-0.001,-0.0052,0.0416,-0.0522,0.035,0.2395,-0.0313,0.1441,-0.047,-0.027,0.4791,0.0779,0.0331,132.8976,-0.0171,0.0932,1.6894,-7.0609,-64.2131,-0.7423,-0.0099,-0.0993,379.8091,0.0308,0.0373,-4.1866,0.0325,1.4141,-0.0032,11.0517,-0.0534,0.3242,1.5151,-420812.6045,-5184971.8193,-38161.752,-0.0175,25.4587,0.0202,0.024,1.4293,-0.006,0.1273,0.0037,-414706.9859,-5.5262,-0.0001,1.0467,0.0012,0.0003,16
12,0.1664,-2.6289,0.4772,-0.2411,-0.0194,-0.0656,-0.0135,-0.0,-0.0003,0.0058,0.0061,0.0007,0.0022,0.0252,-0.0585,-0.0092,0.0319,0.0214,-0.1089,-0.0557,0.0355,0.0638,-0.0983,-0.0651,71.0862,0.0005,-0.032,0.2699,0.7451,13.0146,0.0146,-0.006,0.0289,31.9076,-0.0137,-0.0229,0.4621,-0.0093,0.0172,-0.0041,4.174,0.0123,-0.0098,0.3619,12967.5484,180171.367,1225.2052,-0.0175,3.8391,0.0198,0.0256,0.504,-0.0022,-0.0371,0.0001,13488.2025,1.8817,-0.0004,-0.0099,-0.0022,-0.0035,17
13,0.1329,-1.7175,0.1083,-0.2049,-0.0215,-0.0705,-0.0168,-0.0217,-0.0086,0.0076,0.0079,0.0012,0.0033,0.0331,-0.0693,-0.0126,0.0222,0.0438,-0.1409,-0.0703,0.0485,0.0444,-0.1219,-0.0566,49.0808,0.005,-0.0274,0.3172,1.9293,16.048,0.2144,-0.0036,0.0694,19.1352,-0.0191,-0.0352,1.0401,-0.0156,0.1078,-0.0017,2.1832,0.0211,0.0108,0.014,13966.3851,138708.3567,591.7518,0.0192,1.4892,0.0056,0.028,0.3557,0.0077,0.1096,-0.0005,15355.3474,0.5341,-0.0023,0.1089,-0.003,-0.011,18
14,2.3573,1.8132,0.21,0.1138,0.1338,-0.058,0.0805,0.0982,0.0509,-0.0324,-0.035,0.0018,-0.0026,0.0321,-0.0527,0.0436,0.4964,-0.0394,0.2056,-0.0466,-0.0687,0.9927,0.0859,0.0619,-61.4548,-0.0069,0.0399,2.4749,-1.592,3.7791,-1.5044,-0.1234,-0.1456,-22.766,0.0513,0.06,-0.8091,0.0421,2.0164,-0.0613,-0.7561,-0.04,0.247,3.0837,-18677.3943,-23137.4662,-12362.3377,-0.06,1.7406,0.0347,0.0362,1.6577,0.0044,-0.029,0.0073,-20241.3988,-12.8924,0.0005,2.184,-0.0021,0.0231,24
15,0.27,-0.1823,0.0805,0.0312,0.0451,-0.0297,0.0502,0.0903,0.0226,-0.0259,-0.0256,-0.0052,-0.0131,0.0269,-0.0254,0.0541,0.0628,-0.0838,0.1845,-0.0267,-0.079,0.1255,0.1385,0.0191,5.9886,-0.0235,-0.0083,0.3132,-0.9809,-2.5695,-0.505,-0.0332,-0.0346,10.2365,0.0224,0.0246,-0.2835,0.029,0.3223,-0.0139,0.1486,-0.0087,-0.048,0.2086,-977.476,-1547.9425,-801.7318,-0.0535,0.1737,0.0031,-0.008,-0.0302,-0.022,0.0132,-0.0006,-1267.4307,4.2137,-0.0193,0.1955,0.0047,-0.0191,26
16,3.7572,3.4722,-0.4864,0.2524,0.0819,0.0052,0.0503,0.1068,0.0527,-0.0208,-0.022,-0.0002,-0.0036,0.0061,0.0277,0.0307,0.4331,-0.0574,0.2897,0.0175,-0.0465,0.8662,0.2109,0.0836,17.882,-0.0368,0.1382,3.5376,-2.0042,11.0228,-0.2974,-0.0176,0.0544,99.1972,0.0246,0.0248,-0.9598,0.0262,2.395,-0.0096,2.258,-0.053,0.3503,2.8631,-41682.9136,-210567.8511,-4735.9152,-0.0467,5.2591,0.0131,0.0187,1.5914,-0.0201,0.2243,0.0035,-38827.2457,-1.5149,-0.0004,1.3617,0.0012,0.0049,28
17,-0.1034,0.4993,-0.1221,0.1053,0.0318,0.017,0.0267,0.0287,0.008,-0.0123,-0.0128,-0.0017,-0.0047,-0.0027,0.0176,0.0202,-0.013,-0.0244,0.1377,0.0004,-0.0279,-0.026,0.0996,0.0343,-15.5115,-0.0198,0.0296,-0.17,-0.0203,-0.0801,-0.0209,0.0114,0.0601,-17.4878,-0.0015,0.0011,-0.0118,-0.0004,-0.1969,0.0127,-0.9497,0.0036,0.0488,-0.3799,333.3684,3861.5117,-101.43,0.0353,-0.6075,0.0111,0.0135,-0.0933,0.0218,-0.0853,-0.0008,352.1789,-0.6332,0.0009,0.1172,0.0024,0.009,31
18,-4.9148,0.8059,0.0119,0.119,-0.0266,0.0434,-0.0227,-0.039,-0.0134,0.0107,0.0109,-0.0002,0.001,-0.0425,0.0418,-0.0195,-0.5284,-0.0017,0.0005,0.0325,-0.0007,-1.0569,0.0302,0.0231,-2990.976,-0.007,0.0136,-4.6864,2.2939,-48.9233,0.4215,0.0168,0.0849,-2246.7086,-0.0038,-0.0166,1.6676,-0.0013,-2.4775,0.0095,-20.2065,0.0082,-0.1328,-3.508,-996894.8193,-87220097.6779,155893.5312,0.0209,25.0276,0.0299,0.0274,-1.5042,0.0152,-0.2344,-0.0001,-996993.3256,80.7504,0.0,-1.1789,0.0007,-0.0002,41
19,1.6531,0.2983,-0.3765,0.1292,0.1084,-0.0566,0.0898,0.142,0.0485,-0.0422,-0.043,-0.0024,-0.0121,0.0391,-0.0225,0.0769,0.4782,-0.1214,0.4351,-0.0449,-0.1225,0.9564,0.313,0.0594,-475.0045,-0.0153,0.0637,1.3593,-17.0099,2.019,-21.0783,-0.0918,-0.0388,-255.9467,0.0277,0.0905,-11.5112,0.0243,0.8767,0.0209,-21.9417,-0.078,0.5636,1.0712,-1100949.2446,-499443.7763,-1236829.4132,0.0866,-4.1304,0.0001,-0.0006,0.6334,0.0516,0.1868,0.0056,-1094414.4766,-146.8384,0.0002,1.3228,0.0028,0.0023,43
20,1.787,-1.0954,-0.3062,-0.1166,0.0527,-0.0728,0.0431,0.0286,0.0067,-0.0197,-0.0206,-0.0017,-0.0065,0.0171,-0.0334,0.0323,0.4254,-0.0095,0.0582,-0.0401,-0.0192,0.8508,-0.0053,-0.016,-159.7243,0.0127,-0.0474,1.549,-1.7584,1.1586,-1.9475,-0.1051,-0.2701,-203.9412,0.0708,0.0798,-0.956,0.0493,1.3351,-0.0352,-8.1733,-0.0919,0.359,-0.0663,-25390.5453,-56425.5298,-18232.2781,0.0375,-2.6249,-0.0084,-0.0178,-0.1846,0.0213,0.0092,0.0255,-23987.6421,-26.6411,0.009,0.1535,-0.0018,0.0612,44
21,2.3902,0.7126,-0.1623,0.1799,0.0496,0.0296,0.0422,0.1069,0.0339,-0.02,-0.0204,-0.0001,-0.004,-0.0071,0.057,0.037,0.3151,-0.0866,0.3189,0.0342,-0.063,0.6303,0.2593,0.0574,219.5867,-0.0517,0.0742,1.9773,-6.1213,-29.7487,-0.8339,-0.0166,-0.0177,386.8315,0.0331,0.0329,-3.1239,0.0381,1.5174,-0.0065,11.4931,-0.0502,0.1449,1.7324,-237800.4533,-1684897.8983,-31025.8977,-0.0399,20.9789,0.0247,0.0264,1.4737,-0.0223,0.1455,0.0029,-229810.5535,-2.992,-0.0004,0.8115,0.0006,-0.0014,46
22,2.5799,3.8566,-0.1811,0.36,0.064,0.0279,0.0455,0.0711,0.0294,-0.0199,-0.0209,0.0009,-0.0013,-0.0066,0.0382,0.0315,0.3274,-0.0511,0.2961,0.0243,-0.0535,0.6547,0.223,0.106,24.4302,-0.033,0.1229,2.6469,-2.9862,-12.8843,-0.3832,-0.019,0.0081,1208.7636,0.0294,0.0345,-1.7007,0.0324,1.9847,-0.0093,1.6421,-0.0473,0.3085,2.9402,-804389.9945,-4472093.326,-111702.4873,-0.0503,36.3111,0.0267,0.0267,2.172,-0.022,0.0677,0.0013,-797988.9246,-45.1391,-0.0,1.6663,0.0008,0.0005,47
23,0.41,-0.6702,0.1873,-0.034,0.0247,-0.0429,0.0224,0.0504,0.0161,-0.0108,-0.011,-0.0005,-0.0029,0.0358,-0.0355,0.0208,0.0716,-0.0171,0.0649,-0.0468,-0.0109,0.1432,0.0401,-0.0023,29.7867,-0.0069,0.0128,0.6519,-3.2001,-25.9352,-0.4189,-0.0096,-0.0622,55.6325,0.0183,0.0176,-1.4305,0.0219,0.6648,-0.0044,1.1386,-0.0244,0.0614,0.6122,-89854.9221,-1039976.9752,-9819.4832,-0.0266,3.2107,0.0152,0.0186,0.7308,-0.0137,0.0327,0.0012,-84543.2255,0.5257,-0.0002,0.3709,0.0003,-0.0002,49
24,-1.3649,-0.963,0.1543,-0.1026,-0.0283,-0.0198,-0.016,-0.0231,-0.0122,0.006,0.0068,-0.0004,0.0003,0.0174,-0.0226,-0.0059,-0.2255,0.0059,-0.0856,-0.0243,0.0002,-0.4511,-0.0623,-0.0327,-32.9896,0.0227,-0.0713,-1.2696,-0.3219,-16.4109,0.2211,0.0254,-0.0196,-109.4875,-0.0192,-0.0125,-0.2762,-0.0154,-0.9152,0.0149,-2.3022,-0.0017,-0.1805,-0.7678,-11864.2879,-258167.3606,519.8684,0.0131,-0.3808,0.0288,0.0245,0.0237,0.0005,-0.0969,-0.0006,-10429.1018,2.8251,0.0002,-0.3393,-0.0008,-0.0005,50
25,1.3026,0.0783,0.039,0.0216,0.0109,0.0084,0.0116,0.0402,0.0101,-0.0059,-0.0059,0.0018,0.0003,0.0011,0.0184,0.0121,0.2424,-0.0243,0.0946,0.0142,-0.0046,0.4848,0.0831,0.0081,14.6783,-0.025,0.0252,1.2679,-2.2814,11.501,-1.1451,-0.0463,0.0334,30.1959,0.0132,0.0061,-0.648,0.0253,0.7265,-0.0173,2.2065,-0.0353,0.1014,1.7394,-76789.918,-91331.6103,-28442.4198,-0.0796,3.5534,0.0344,0.0474,1.3887,-0.0224,0.02,0.0014,-64062.162,-9.3115,-0.0012,0.2737,-0.0022,0.0012,51
26,3.548,0.371,-0.0598,0.0488,0.0347,0.0019,0.0297,0.0927,0.0259,-0.0141,-0.0143,0.0039,0.0008,0.0057,0.0166,0.0259,0.6117,-0.0494,0.1723,0.017,-0.0314,1.2234,0.1346,0.0209,1.9249,-0.0673,0.0614,3.4656,-2.2665,36.4847,-2.1808,-0.0975,0.0457,25.6559,0.0209,0.0137,-0.1734,0.0423,1.9607,-0.0374,2.8531,-0.0465,0.2396,2.9607,-68944.5816,42456.1378,-34811.005,-0.1464,2.3543,0.0044,0.046,1.6384,-0.0522,0.3313,0.0034,-48171.872,-24.3854,-0.0103,0.8072,-0.0044,0.0013,52
27,-0.054,-2.2676,0.4423,-0.2056,-0.0175,-0.0647,-0.0154,-0.0097,-0.0021,0.0073,0.0075,0.0012,0.0033,0.0228,-0.058,-0.0135,0.0155,0.0266,-0.1196,-0.063,0.0328,0.031,-0.1086,-0.0558,74.077,0.0045,-0.0309,0.0854,1.1831,13.3007,0.077,-0.0082,0.0365,31.663,-0.0166,-0.0253,0.6502,-0.0131,-0.1201,-0.0063,3.6528,0.0133,-0.0286,-0.3123,16008.178,212640.5946,855.2113,-0.0125,3.0084,0.0098,0.0119,-0.0399,-0.002,-0.0013,-0.0004,16710.8989,0.8359,-0.0003,0.0129,-0.0023,-0.0028,53
28,-0.1598,-1.615,0.2192,-0.1846,-0.0215,-0.0803,-0.015,-0.0234,-0.0094,0.0065,0.0069,0.0004,0.0015,0.0375,-0.0862,-0.0096,-0.0262,0.0445,-0.1714,-0.0829,0.0403,-0.0523,-0.1491,-0.0515,46.1649,0.012,-0.0386,-0.0167,2.1228,14.1301,0.3519,-0.0053,0.0263,13.6675,-0.017,-0.0318,1.076,-0.0134,-0.0936,-0.0038,2.5073,0.0247,-0.0677,-0.6304,12396.461,127758.1504,-369.9534,0.0357,1.9062,0.0273,0.0457,0.2248,0.0287,-0.0126,0.0,15491.4751,1.7094,-0.0016,-0.1082,-0.0022,-0.0106,54
29,-0.1755,-0.1198,0.0491,0.0205,0.0367,-0.0456,0.0387,0.066,0.0182,-0.0197,-0.0196,-0.0062,-0.0119,0.032,-0.0451,0.0405,-0.0486,-0.0609,0.1172,-0.0543,-0.0576,-0.0973,0.0814,0.0143,13.7981,-0.0154,-0.0086,-0.1814,-0.4205,-2.8701,0.0668,0.0202,-0.0123,12.4601,0.0098,0.0083,-0.0907,0.0147,-0.0562,0.0137,0.4928,0.0249,-0.0582,-0.2686,2824.5481,17196.2372,1401.9527,-0.01,0.2503,0.0169,0.0176,-0.0709,0.0163,-0.0147,-0.0016,1621.6873,15.9905,-0.0112,0.1499,0.0066,-0.0214,58
30,3.3648,4.7943,-0.6926,0.2967,0.0839,0.0105,0.0494,0.1064,0.0554,-0.02,-0.0214,-0.0003,-0.0034,0.0038,0.0305,0.0288,0.3974,-0.0589,0.2886,0.0219,-0.0474,0.7947,0.2103,0.0951,9.3775,-0.034,0.1411,3.1149,-1.9768,9.7391,-0.3106,-0.0194,0.049,89.5335,0.0241,0.0234,-0.9691,0.0255,2.1476,-0.0112,1.0675,-0.0515,0.2615,2.4567,-27498.2739,-63852.1713,-3548.0653,-0.0611,3.7114,0.0017,0.0048,1.522,-0.0367,0.2457,0.0028,-26665.0869,-1.2745,-0.0004,1.301,0.0012,0.0051,60
31,-0.6426,0.6121,-0.2027,0.0917,0.0309,0.0098,0.0245,0.025,0.008,-0.0111,-0.0116,-0.0053,-0.009,-0.003,0.0144,0.0185,-0.1323,-0.0199,0.1173,0.0032,-0.0143,-0.2645,0.0862,0.0306,-36.4482,-0.0177,0.024,-0.7159,-0.1142,-2.3065,0.083,0.0527,0.0318,-43.9557,0.0041,0.0071,-0.0587,0.0032,-0.5887,0.0454,-0.5219,0.0104,0.0188,-1.2885,-1298.1525,-9485.9705,-109.0304,0.0922,-1.1976,-0.0056,-0.0078,-0.6142,0.0355,-0.0524,0.0046,-1189.8196,2.9977,0.0017,-0.3417,0.0064,0.0071,63
32,-2.5013,-2.0424,-0.182,-0.3666,-0.0741,-0.0923,-0.0291,-0.0587,-0.0374,0.0079,0.0101,-0.0045,-0.0072,0.0378,-0.1038,0.0029,-0.3517,0.0354,-0.2929,-0.1455,0.0485,-0.7033,-0.2242,-0.1102,-659.0461,0.0718,-0.1845,-2.7216,-0.5163,-14.7725,0.0308,0.0284,-0.3217,-1309.0341,0.0134,0.0198,-0.327,0.008,-2.0917,0.0242,-50.7748,0.0475,-0.4068,-3.4388,-29136.3825,-384375.4922,-2586.3255,0.0295,-65.8754,-0.012,-0.0154,-2.1058,0.014,-0.2587,0.0124,-29040.5895,-6.3666,0.0011,-2.1372,0.0007,0.0047,77
33,1.2879,14.2266,-0.2961,0.8501,0.5974,-0.0017,0.1935,0.1543,0.1665,-0.0477,-0.0589,-0.0089,-0.0153,-0.0336,0.078,-0.0054,0.1806,-0.0366,0.3755,0.0534,-0.0527,0.3612,0.211,0.3619,-14.8899,-0.0499,0.3635,1.6485,-0.221,1.8121,-0.0478,-0.0066,0.1134,-12.7088,0.039,0.0272,-0.0815,0.0236,1.5781,-0.0018,-0.5724,-0.0581,0.371,2.1602,-457.2475,-3659.6369,-69.3665,-0.0589,0.3242,0.0123,0.027,1.3464,-0.0338,0.1816,0.0345,-353.7541,-0.655,0.0151,2.2659,0.022,0.151,85
